Time (s),Channel 1 (V),Channel 2 (V)
0.00063684,-6.666622349269783,-0.009878443628614031
0.00063928,-6.666622349269783,-0.0030279400211555285
0.00064172,-6.666622349269783,0.00039731178257372286
0.00064416,-6.632606780980659,0.00039731178257372286
0.0006466,-6.632606780980659,0.00039731178257372286
0.00064904,-6.632606780980659,0.00039731178257372286
0.00065148,-6.666622349269783,-0.00645319182488478
0.00065392,-6.7006379175589075,0.00039731178257372286
0.00065636,-6.666622349269783,-0.0030279400211555285
0.0006588,-6.7006379175589075,0.00039731178257372286
0.00066124,-6.7006379175589075,0.00039731178257372286
0.00066368,-6.7006379175589075,0.00039731178257372286
0.00066612,-6.734653485848032,0.00039731178257372286
0.00066856,-6.734653485848032,0.0038225635863029742
0.000671,-6.734653485848032,0.00039731178257372286
0.00067344,-6.734653485848032,0.0038225635863029742
0.00067588,-6.768669054137156,0.0038225635863029742
0.0006783199999999999,-6.768669054137156,0.0038225635863029742
0.00068076,-6.768669054137156,0.0038225635863029742
0.0006832,-6.8026846224262805,0.0072478153900322265
0.00068564,-6.8026846224262805,0.0038225635863029742
0.00068808,-6.768669054137156,0.0038225635863029742
0.00069052,-6.8026846224262805,0.0038225635863029742
0.00069296,-6.768669054137156,0.0072478153900322265
0.0006954,-6.8026846224262805,0.0072478153900322265
0.00069784,-6.836700190715405,0.010673067193761477
0.00070028,-6.836700190715405,0.010673067193761477
0.00070272,-6.8026846224262805,0.010673067193761477
0.00070516,-6.8026846224262805,0.010673067193761477
0.0007076,-6.8026846224262805,0.0072478153900322265
0.00071004,-6.836700190715405,0.010673067193761477
0.00071248,-6.870715759004529,0.0072478153900322265
0.00071492,-6.836700190715405,0.010673067193761477
0.00071736,-6.870715759004529,0.014098318997490727
0.0007198,-6.870715759004529,0.0072478153900322265
0.00072224,-6.9047313272936535,0.010673067193761477
0.00072468,-6.9047313272936535,0.014098318997490727
0.00072712,-6.9047313272936535,0.010673067193761477
0.00072956,-6.870715759004529,0.010673067193761477
0.000732,-6.9047313272936535,0.014098318997490727
0.0007344399999999999,-6.9047313272936535,0.010673067193761477
0.00073688,-6.9047313272936535,0.010673067193761477
0.00073932,-6.9047313272936535,0.014098318997490727
0.0007417599999999999,-6.972762463871902,0.010673067193761477
0.0007442,-6.938746895582778,0.014098318997490727
0.00074664,-6.972762463871902,0.01752357080121998
0.00074908,-6.938746895582778,0.01752357080121998
0.00075152,-6.9047313272936535,0.01752357080121998
0.00075396,-6.938746895582778,0.01752357080121998
0.0007564,-6.938746895582778,0.014098318997490727
0.00075884,-7.0067780321610265,0.01752357080121998
0.00076128,-7.0067780321610265,0.01752357080121998
0.00076372,-7.0067780321610265,0.020948822604949232
0.00076616,-7.0067780321610265,0.014098318997490727
0.0007686,-7.0067780321610265,0.014098318997490727
0.00077104,-7.0067780321610265,0.014098318997490727
0.00077348,-7.0067780321610265,0.01752357080121998
0.00077592,-7.0067780321610265,0.020948822604949232
0.00077836,-7.040793600450151,0.01752357080121998
0.0007808,-7.040793600450151,0.01752357080121998
0.00078324,-7.074809168739275,0.014098318997490727
0.00078568,-7.1088247370283995,0.020948822604949232
0.00078812,-7.1088247370283995,0.020948822604949232
0.00079056,-7.1088247370283995,0.020948822604949232
0.000793,-7.074809168739275,0.027799326212407733
0.00079544,-7.1088247370283995,0.024374074408678482
0.0007978799999999999,-7.074809168739275,0.020948822604949232
0.00080032,-7.1088247370283995,0.020948822604949232
0.00080276,-7.074809168739275,0.020948822604949232
0.0008052,-7.142840305317524,0.024374074408678482
0.00080764,-7.176855873606648,0.024374074408678482
0.00081008,-7.176855873606648,0.024374074408678482
0.00081252,-7.176855873606648,0.027799326212407733
0.00081496,-7.142840305317524,0.024374074408678482
0.0008174,-7.176855873606648,0.027799326212407733
0.00081984,-7.142840305317524,0.027799326212407733
0.00082228,-7.176855873606648,0.024374074408678482
0.00082472,-7.176855873606648,0.024374074408678482
0.00082716,-7.244887010184897,0.027799326212407733
0.0008296,-7.2108714418957724,0.027799326212407733
0.00083204,-7.244887010184897,0.024374074408678482
0.00083448,-7.244887010184897,0.024374074408678482
0.00083692,-7.2108714418957724,0.027799326212407733
0.00083936,-7.2108714418957724,0.031224578016136983
0.0008418,-7.2108714418957724,0.027799326212407733
0.00084424,-7.2108714418957724,0.024374074408678482
0.00084668,-7.2108714418957724,0.027799326212407733
0.00084912,-7.244887010184897,0.027799326212407733
0.00085156,-7.244887010184897,0.03464982981986624
0.0008539999999999999,-7.244887010184897,0.027799326212407733
0.00085644,-7.244887010184897,0.03464982981986624
0.00085888,-7.278902578474021,0.031224578016136983
0.00086132,-7.278902578474021,0.031224578016136983
0.00086376,-7.244887010184897,0.03464982981986624
0.0008662,-7.312918146763145,0.03464982981986624
0.00086864,-7.312918146763145,0.031224578016136983
0.00087108,-7.278902578474021,0.03464982981986624
0.00087352,-7.278902578474021,0.03464982981986624
0.00087596,-7.312918146763145,0.031224578016136983
0.0008784,-7.34693371505227,0.03464982981986624
0.00088084,-7.312918146763145,0.027799326212407733
0.00088328,-7.34693371505227,0.03464982981986624
0.00088572,-7.34693371505227,0.03464982981986624
0.00088816,-7.34693371505227,0.03464982981986624
0.0008906,-7.380949283341394,0.03807508162359549
0.00089304,-7.34693371505227,0.03807508162359549
0.00089548,-7.380949283341394,0.03464982981986624
0.00089792,-7.414964851630518,0.03807508162359549
0.00090036,-7.380949283341394,0.04150033342732474
0.0009028,-7.34693371505227,0.04150033342732474
0.00090524,-7.380949283341394,0.03807508162359549
0.00090768,-7.414964851630518,0.03807508162359549
0.0009101199999999999,-7.414964851630518,0.04150033342732474
0.00091256,-7.414964851630518,0.04150033342732474
0.000915,-7.380949283341394,0.04150033342732474
0.0009174399999999999,-7.482995988208767,0.04150033342732474
0.00091988,-7.448980419919643,0.03807508162359549
0.00092232,-7.482995988208767,0.03807508162359549
0.00092476,-7.448980419919643,0.03807508162359549
0.0009272,-7.482995988208767,0.04150033342732474
0.00092964,-7.482995988208767,0.04150033342732474
0.00093208,-7.482995988208767,0.04150033342732474
0.00093452,-7.448980419919643,0.04150033342732474
0.00093696,-7.482995988208767,0.04150033342732474
0.0009394,-7.448980419919643,0.04492558523105399
0.00094184,-7.482995988208767,0.04150033342732474
0.00094428,-7.517011556497891,0.04150033342732474
0.00094672,-7.551027124787016,0.04492558523105399
0.00094916,-7.551027124787016,0.04835083703478324
0.0009516,-7.551027124787016,0.04835083703478324
0.00095404,-7.551027124787016,0.04492558523105399
0.00095648,-7.551027124787016,0.04492558523105399
0.00095892,-7.551027124787016,0.04492558523105399
0.00096136,-7.58504269307614,0.04492558523105399
0.0009638,-7.58504269307614,0.04150033342732474
0.00096624,-7.58504269307614,0.04492558523105399
0.00096868,-7.551027124787016,0.04492558523105399
0.00097112,-7.58504269307614,0.04835083703478324
0.0009735599999999999,-7.58504269307614,0.04835083703478324
0.000976,-7.58504269307614,0.04492558523105399
0.00097844,-7.58504269307614,0.04492558523105399
0.00098088,-7.619058261365264,0.04835083703478324
0.00098332,-7.653073829654389,0.05177608883851249
0.00098576,-7.653073829654389,0.04835083703478324
0.0009882,-7.619058261365264,0.04835083703478324
0.00099064,-7.653073829654389,0.04835083703478324
0.00099308,-7.653073829654389,0.04492558523105399
0.00099552,-7.653073829654389,0.04835083703478324
0.00099796,-7.619058261365264,0.04835083703478324
0.0010004,-7.619058261365264,0.04835083703478324
0.00100284,-7.687089397943513,0.05177608883851249
0.0010052799999999999,-7.687089397943513,0.04835083703478324
0.00100772,-7.687089397943513,0.04835083703478324
0.00101016,-7.721104966232637,0.05177608883851249
0.0010126,-7.687089397943513,0.05177608883851249
0.00101504,-7.687089397943513,0.04835083703478324
0.00101748,-7.687089397943513,0.05177608883851249
0.00101992,-7.721104966232637,0.05177608883851249
0.00102236,-7.687089397943513,0.05177608883851249
0.0010248,-7.721104966232637,0.05520134064224175
0.00102724,-7.721104966232637,0.05520134064224175
0.00102968,-7.755120534521762,0.05177608883851249
0.00103212,-7.755120534521762,0.05520134064224175
0.00103456,-7.789136102810886,0.05177608883851249
0.001037,-7.755120534521762,0.058626592445970994
0.00103944,-7.755120534521762,0.05520134064224175
0.00104188,-7.789136102810886,0.05520134064224175
0.00104432,-7.789136102810886,0.058626592445970994
0.00104676,-7.755120534521762,0.058626592445970994
0.0010492,-7.789136102810886,0.058626592445970994
0.00105164,-7.789136102810886,0.058626592445970994
0.00105408,-7.82315167110001,0.058626592445970994
0.00105652,-7.82315167110001,0.058626592445970994
0.00105896,-7.82315167110001,0.058626592445970994
0.0010613999999999999,-7.891182807678259,0.058626592445970994
0.00106384,-7.857167239389135,0.058626592445970994
0.00106628,-7.857167239389135,0.058626592445970994
0.00106872,-7.857167239389135,0.058626592445970994
0.00107116,-7.857167239389135,0.05520134064224175
0.0010736,-7.857167239389135,0.06205184424970024
0.00107604,-7.82315167110001,0.058626592445970994
0.00107848,-7.891182807678259,0.06205184424970024
0.00108092,-7.891182807678259,0.06205184424970024
0.00108336,-7.891182807678259,0.0654770960534295
0.0010858,-7.891182807678259,0.0654770960534295
0.00108824,-7.891182807678259,0.0654770960534295
0.00109068,-7.959213944256508,0.06205184424970024
0.00109312,-7.925198375967383,0.0654770960534295
0.00109556,-7.925198375967383,0.06205184424970024
0.001098,-7.925198375967383,0.06205184424970024
0.00110044,-7.959213944256508,0.06205184424970024
0.00110288,-7.959213944256508,0.06205184424970024
0.00110532,-7.993229512545632,0.0654770960534295
0.00110776,-7.959213944256508,0.06890234785715875
0.0011102,-7.959213944256508,0.06890234785715875
0.00111264,-7.959213944256508,0.0654770960534295
0.00111508,-7.959213944256508,0.06890234785715875
0.0011175199999999999,-7.993229512545632,0.06890234785715875
0.00111996,-8.027245080834756,0.0654770960534295
0.0011224,-7.993229512545632,0.0654770960534295
0.00112484,-8.095276217413005,0.06890234785715875
0.00112728,-7.993229512545632,0.06890234785715875
0.00112972,-7.993229512545632,0.06890234785715875
0.00113216,-8.027245080834756,0.06890234785715875
0.0011346,-7.993229512545632,0.06890234785715875
0.00113704,-7.993229512545632,0.072327599660888
0.00113948,-8.027245080834756,0.06890234785715875
0.00114192,-8.06126064912388,0.072327599660888
0.00114436,-8.06126064912388,0.072327599660888
0.0011468,-8.06126064912388,0.072327599660888
0.00114924,-8.027245080834756,0.072327599660888
0.00115168,-8.095276217413005,0.07575285146461726
0.00115412,-8.095276217413005,0.072327599660888
0.00115656,-8.06126064912388,0.072327599660888
0.001159,-8.095276217413005,0.072327599660888
0.00116144,-8.095276217413005,0.07575285146461726
0.00116388,-8.12929178570213,0.072327599660888
0.00116632,-8.12929178570213,0.072327599660888
0.00116876,-8.095276217413005,0.07575285146461726
0.0011712,-8.095276217413005,0.072327599660888
0.00117364,-8.12929178570213,0.07575285146461726
0.00117608,-8.095276217413005,0.07917810326834651
0.00117852,-8.12929178570213,0.072327599660888
0.00118096,-8.12929178570213,0.06890234785715875
0.0011834,-8.12929178570213,0.072327599660888
0.00118584,-8.163307353991254,0.07917810326834651
0.00118828,-8.163307353991254,0.07917810326834651
0.00119072,-8.163307353991254,0.07575285146461726
0.00119316,-8.197322922280378,0.07917810326834651
0.0011956,-8.163307353991254,0.07575285146461726
0.00119804,-8.197322922280378,0.07917810326834651
0.00120048,-8.163307353991254,0.07917810326834651
0.00120292,-8.197322922280378,0.07917810326834651
0.00120536,-8.197322922280378,0.07917810326834651
0.0012078,-8.197322922280378,0.07917810326834651
0.00121024,-8.231338490569502,0.08260335507207575
0.00121268,-8.231338490569502,0.07917810326834651
0.00121512,-8.231338490569502,0.08260335507207575
0.00121756,-8.197322922280378,0.07917810326834651
0.00122,-8.265354058858627,0.08260335507207575
0.00122244,-8.231338490569502,0.07917810326834651
0.00122488,-8.265354058858627,0.08260335507207575
0.00122732,-8.265354058858627,0.086028606875805
0.00122976,-8.265354058858627,0.08260335507207575
0.0012322,-8.299369627147751,0.086028606875805
0.00123464,-8.265354058858627,0.086028606875805
0.00123708,-8.265354058858627,0.08260335507207575
0.00123952,-8.299369627147751,0.086028606875805
0.00124196,-8.299369627147751,0.07917810326834651
0.0012443999999999999,-8.333385195436875,0.086028606875805
0.00124684,-8.333385195436875,0.086028606875805
0.00124928,-8.299369627147751,0.09287911048326351
0.00125172,-8.299369627147751,0.086028606875805
0.00125416,-8.367400763726,0.086028606875805
0.0012566,-8.333385195436875,0.086028606875805
0.00125904,-8.367400763726,0.08945385867953426
0.00126148,-8.435431900304248,0.08945385867953426
0.00126392,-8.333385195436875,0.086028606875805
0.00126636,-8.333385195436875,0.086028606875805
0.0012688,-8.333385195436875,0.086028606875805
0.00127124,-8.367400763726,0.086028606875805
0.00127368,-8.401416332015124,0.08945385867953426
0.00127612,-8.367400763726,0.08945385867953426
0.00127856,-8.367400763726,0.08945385867953426
0.001281,-8.333385195436875,0.09287911048326351
0.00128344,-8.401416332015124,0.08945385867953426
0.00128588,-8.401416332015124,0.086028606875805
0.00128832,-8.401416332015124,0.09287911048326351
0.00129076,-8.401416332015124,0.08945385867953426
0.0012932,-8.401416332015124,0.09287911048326351
0.00129564,-8.401416332015124,0.09287911048326351
0.00129808,-8.469447468593373,0.09287911048326351
0.0013005199999999999,-8.469447468593373,0.09287911048326351
0.00130296,-8.401416332015124,0.09287911048326351
0.0013054,-8.469447468593373,0.09630436228699277
0.00130784,-8.435431900304248,0.09630436228699277
0.00131028,-8.435431900304248,0.09287911048326351
0.00131272,-8.469447468593373,0.08945385867953426
0.00131516,-8.435431900304248,0.08945385867953426
0.0013176,-8.469447468593373,0.09630436228699277
0.00132004,-8.469447468593373,0.09287911048326351
0.00132248,-8.469447468593373,0.09630436228699277
0.00132492,-8.503463036882497,0.09630436228699277
0.00132736,-8.537478605171621,0.09287911048326351
0.0013298,-8.537478605171621,0.09630436228699277
0.00133224,-8.537478605171621,0.09630436228699277
0.00133468,-8.537478605171621,0.09630436228699277
0.00133712,-8.537478605171621,0.09630436228699277
0.00133956,-8.537478605171621,0.09630436228699277
0.001342,-8.571494173460746,0.09630436228699277
0.00134444,-8.503463036882497,0.09972961409072201
0.00134688,-8.537478605171621,0.10315486589445126
0.00134932,-8.537478605171621,0.09630436228699277
0.00135176,-8.537478605171621,0.09972961409072201
0.0013542,-8.571494173460746,0.09287911048326351
0.0013566399999999999,-8.60550974174987,0.09630436228699277
